
1/2	QUANTITY
tsp.	UNIT
ground	O
black	NAME
pepper	NAME

1	QUANTITY
garlic	NAME
clove	UNIT
,	O
sliced	O

1/2	QUANTITY
to	QUANTITY
1	QUANTITY
teaspoon	UNIT
salt	NAME

Pasta	NAME
ring	NAME
,	O
heated	O

3 1/2	QUANTITY
pounds	UNIT
beef	NAME
shank	NAME
meat	NAME
-LRB-	O
from	O
about	QUANTITY
4 1/2	QUANTITY
pounds	UNIT
beef	NAME
shanks	NAME
-RRB-	O
or	O
boneless	NAME
beef	NAME
short	NAME
ribs	NAME
,	O
cut	O
into	O
3/4-inch	O
cubes	O

1.0	QUANTITY
tbsp	UNIT
paprika	NAME

3	QUANTITY
lbs	UNIT
of	O
Eye	NAME
Round	NAME
Beef	NAME

1	QUANTITY
teaspoon	UNIT
worcestershire	NAME
sauce	NAME

4	QUANTITY
russet	NAME
potatoes	NAME
,	O
peeled	O
and	O
sliced	O
into	O
??	O
matchsticks	O

1	QUANTITY
medium	UNIT
green	NAME
pepper	NAME
,	O
chopped	O
-LRB-	O
about	QUANTITY
3/4	QUANTITY
cup	UNIT
-RRB-	O

2	QUANTITY
tsp	UNIT
sugar	NAME

2	QUANTITY
tsps	UNIT
ground	O
cumin	NAME

2	QUANTITY
teaspoons	UNIT
sweet	NAME
Hungarian	NAME
paprika	NAME

1	QUANTITY
can	UNIT
Campbell	O
's	O
®	O
Condensed	NAME
Cream	NAME
of	NAME
Mushroom	NAME
Soup	NAME

10	QUANTITY
curry	NAME
leaves	NAME

1	QUANTITY
teaspoon	UNIT
dried	NAME
thyme	NAME

1	QUANTITY
large	UNIT
onion	NAME
,	O
thinly	O
sliced	O

2	QUANTITY
tablespoons	UNIT
creme	NAME
fraiche	NAME

1/2	QUANTITY
cup	UNIT
whipping	NAME
cream	NAME

Salt	NAME
and	O
lots	QUANTITY
of	O
freshly	O
ground	O
pepper	NAME
to	O
taste	O

1	QUANTITY
cup	UNIT
beef	NAME
stock	NAME

2	QUANTITY
boneless	NAME
beef	NAME
top	NAME
loin	NAME
steaks	NAME

1 1/4	QUANTITY
pounds	UNIT
well-marbled	NAME
chuck	NAME
beef	NAME
stew	NAME
meat	NAME
,	O
cut	O
into	O
1-inch	O
pieces	O
-LRB-	O
NOT	NAME
extra-lean	NAME
-RRB-	O

2	QUANTITY
tablespoons	UNIT
canola	NAME
oil	NAME

1/4	QUANTITY
tsp	UNIT
ground	O
black	NAME
pepper	NAME

12	QUANTITY
oz	UNIT
roast	NAME
beef	NAME
,	O
sliced	O
1/4	O
inch	O
thick	O
and	O
cut	O
into	O
strips	O
or	O
half	O
of	O
the	O
Coriander-Dusted	O
Roast	O
Beef	O

1	QUANTITY
x	O
Pepper	NAME

1	QUANTITY
x	O
Salt	NAME

2	QUANTITY
fresh	NAME
thyme	NAME
sprigs	NAME

1	QUANTITY
Pepperidge	O
Farm	O
®	O
Puff	NAME
Pastry	NAME
Sheet	NAME
,	O
thawed	O

2	QUANTITY
tablespoons	UNIT
all-purpose	NAME
flour	NAME

1	QUANTITY
tablespoon	UNIT
vegetable	NAME
oil	NAME

1/2	QUANTITY
cup	UNIT
medium	0
onion	NAME
,	O
finely	O
chopped	O

1	QUANTITY
teaspoon	UNIT
sea	NAME
salt	NAME

sour	NAME
cream	NAME
,	O
for	O
serving	O

1	QUANTITY
3/4	QUANTITY
c.	UNIT
Swanson	O
®	O
Beef	NAME
Broth	NAME

1	QUANTITY
large	UNIT
carrot	NAME

1	QUANTITY
Tbsp	UNIT
chili	NAME
powder	NAME

Buttered	NAME
noodles	NAME
,	O
for	O
serving	O

1/4	QUANTITY
teaspoon	UNIT
dried	NAME
crushed	NAME
red	NAME
pepper	NAME

1/2	QUANTITY
cup	UNIT
cognac	NAME

1	QUANTITY
lb	UNIT
Carrots	NAME
preferably	O
whole	O
carrots	O
